ex10-opt-cat-1-opt-0-amo-0;TIMEOUT;116;7200.01;4;248194;75165
ex10-opt-cat-2-opt-0-amo-0;TIMEOUT;122;7200.01;4;242165;74917
ex10-opt-cat-2-opt-0-amo-1;TIMEOUT;157;7200.01;3;242178;69869
ex10-opt-cat-2-opt-1-amo-0;TIMEOUT;126;7200.00;11;249621;28033
ex10-opt-cat-2-opt-1-amo-1;TIMEOUT;170;7200.01;3;244759;35617
ex1-opt-cat-1-opt-0-amo-0;TIMEOUT;121;7200.00;5;248709;74666
ex1-opt-cat-2-opt-0-amo-0;TIMEOUT;196;7200.00;2;242282;76260
ex1-opt-cat-2-opt-0-amo-1;TIMEOUT;161;7200.00;9;242296;75513
ex1-opt-cat-2-opt-1-amo-0;TIMEOUT;134;7200.00;2;250136;29496
ex1-opt-cat-2-opt-1-amo-1;TIMEOUT;136;7200.00;8;244886;29648
ex2-opt-cat-1-opt-0-amo-0;TIMEOUT;121;7200.01;2;247748;74666
ex2-opt-cat-2-opt-0-amo-0;TIMEOUT;116;7200.00;4;242383;75165
ex2-opt-cat-2-opt-0-amo-1;TIMEOUT;124;7200.01;5;242360;75154
ex2-opt-cat-2-opt-1-amo-0;TIMEOUT;171;7200.00;2;248747;35356
ex2-opt-cat-2-opt-1-amo-1;TIMEOUT;172;7200.00;2;244943;35290
ex3-opt-cat-1-opt-0-amo-0;TIMEOUT;122;7200.01;3;248123;74917
ex3-opt-cat-2-opt-0-amo-0;TIMEOUT;108;7200.00;4;242426;72723
ex3-opt-cat-2-opt-0-amo-1;TIMEOUT;151;7200.00;3;242467;68051
ex3-opt-cat-2-opt-1-amo-0;TIMEOUT;126;7200.00;9;249122;27945
ex3-opt-cat-2-opt-1-amo-1;TIMEOUT;140;7200.00;8;244980;29857
ex4-opt-cat-1-opt-0-amo-0;TIMEOUT;125;7200.00;6;249723;67885
ex4-opt-cat-2-opt-0-amo-0;TIMEOUT;133;7200.01;17;242425;69782
ex4-opt-cat-2-opt-0-amo-1;TIMEOUT;113;7200.01;6;242426;74677
ex4-opt-cat-2-opt-1-amo-0;TIMEOUT;166;7200.00;8;250722;34508
ex4-opt-cat-2-opt-1-amo-1;TIMEOUT;196;7200.00;4;245033;39309
ex5-opt-cat-1-opt-0-amo-0;OPTIMUM;46;2103.17;31;248817;34213
ex5-opt-cat-2-opt-0-amo-0;OPTIMUM;46;4054.12;59;242380;34213
ex5-opt-cat-2-opt-0-amo-1;OPTIMUM;46;4848.31;60;242421;34213
ex5-opt-cat-2-opt-1-amo-0;OPTIMUM;46;3159.10;75;250244;11347
ex5-opt-cat-2-opt-1-amo-1;OPTIMUM;46;3193.34;94;244993;11354
ex6-opt-cat-1-opt-0-amo-0;TIMEOUT;82;7200.01;3;247400;57755
ex6-opt-cat-2-opt-0-amo-0;TIMEOUT;138;7200.00;3;242290;75584
ex6-opt-cat-2-opt-0-amo-1;TIMEOUT;124;7200.01;5;242300;75154
ex6-opt-cat-2-opt-1-amo-0;TIMEOUT;120;7200.00;5;248399;26820
ex6-opt-cat-2-opt-1-amo-1;TIMEOUT;130;7200.00;3;244864;28738
ex7-opt-cat-1-opt-0-amo-0;TIMEOUT;103;7200.01;3;247324;63493
ex7-opt-cat-2-opt-0-amo-0;TIMEOUT;132;7200.00;2;242197;75835
ex7-opt-cat-2-opt-0-amo-1;TIMEOUT;+∞;7200.01;1;242190;0
ex7-opt-cat-2-opt-1-amo-0;TIMEOUT;133;7200.00;2;248323;29720
ex7-opt-cat-2-opt-1-amo-1;TIMEOUT;117;7200.00;4;244808;26138
ex8-opt-cat-1-opt-0-amo-0;TIMEOUT;117;7200.00;9;251196;67896
ex8-opt-cat-2-opt-0-amo-0;TIMEOUT;151;7200.00;10;242752;68051
ex8-opt-cat-2-opt-0-amo-1;TIMEOUT;164;7200.00;9;242771;76001
ex8-opt-cat-2-opt-1-amo-0;TIMEOUT;153;7200.01;15;252231;35020
ex8-opt-cat-2-opt-1-amo-1;TIMEOUT;182;7200.00;14;245371;39915
ex9-opt-cat-1-opt-0-amo-0;TIMEOUT;97;7200.01;4;248185;66529
ex9-opt-cat-2-opt-0-amo-0;TIMEOUT;99;7200.00;3;242170;67469
ex9-opt-cat-2-opt-0-amo-1;TIMEOUT;120;7200.01;8;242153;61705
ex9-opt-cat-2-opt-1-amo-0;TIMEOUT;140;7200.00;4;249612;30294
ex9-opt-cat-2-opt-1-amo-1;TIMEOUT;124;7200.00;10;244755;27604
