BA_RDC4.dot_luby_0null20mast_rapportOE2.0_TMAX120_K67_cod2.pb;31415;true;true;true;TIMEOUT;-2832;1800.00;65;266845;20297
BA_RDC4.dot_luby_0null20mast_rapportOE2.0_TMAX300_K67_cod2.pb;31415;false;true;false;TIMEOUT;-5760;1800.00;24;1373878;27092
BA_RDC4.dot_luby_0null20mast_rapportOE2.0_TMAX300_K67_cod2.pb;31415;false;true;true;TIMEOUT;-5940;1800.00;51;1157588;18327
BA_RDC4.dot_luby_0null20mast_rapportOE2.0_TMAX300_K67_cod2.pb;31415;true;true;false;TIMEOUT;-6920;1800.01;20;442083;27086
BA_RDC4.dot_luby_0null20mast_rapportOE2.0_TMAX300_K67_cod2.pb;31415;true;true;true;TIMEOUT;-6722;1800.00;134;315080;18303
BA_RDC4.dot_luby_20null0mast_rapportOE1.0_TMAX60_K67_cod2.pb;31415;false;true;false;TIMEOUT;-129;1800.00;5;1180217;22803
BA_RDC4.dot_luby_20null0mast_rapportOE1.0_TMAX60_K67_cod2.pb;31415;false;true;true;TIMEOUT;-227;1800.00;15;538459;4838
BA_RDC4.dot_luby_20null0mast_rapportOE1.0_TMAX60_K67_cod2.pb;31415;true;true;false;TIMEOUT;-344;1800.00;21;247888;22791
BA_RDC4.dot_luby_20null0mast_rapportOE1.0_TMAX60_K67_cod2.pb;31415;true;true;true;TIMEOUT;-373;1800.00;25;246118;9998
BA_RDC4.dot_luby_20null0mast_rapportOE2.0_TMAX300_K67_cod2.pb;31415;false;true;false;TIMEOUT;-263;1800.00;23;1369348;22938
BA_RDC4.dot_luby_20null0mast_rapportOE2.0_TMAX300_K67_cod2.pb;31415;false;true;true;TIMEOUT;-338;1800.00;31;1150267;7987
BA_RDC4.dot_luby_20null0mast_rapportOE2.0_TMAX300_K67_cod2.pb;31415;true;true;false;TIMEOUT;-364;1800.00;21;437827;22865
BA_RDC4.dot_luby_20null0mast_rapportOE2.0_TMAX300_K67_cod2.pb;31415;true;true;true;TIMEOUT;-385;1800.00;121;318617;8874
BA_RDC4.dot_luby_50null0mast_rapportOE1.0_TMAX300_K67_cod2.pb;31415;false;true;false;TIMEOUT;-360;1800.00;41;1353969;11500
BA_RDC4.dot_luby_50null0mast_rapportOE1.0_TMAX300_K67_cod2.pb;31415;false;true;true;TIMEOUT;-429;1800.00;54;1112113;4690
BA_RDC4.dot_luby_50null0mast_rapportOE1.0_TMAX300_K67_cod2.pb;31415;true;true;false;TIMEOUT;-441;1800.00;28;403681;11567
BA_RDC4.dot_luby_50null0mast_rapportOE1.0_TMAX300_K67_cod2.pb;31415;true;true;true;TIMEOUT;-452;1800.00;98;300115;4702
BA_RDC4.dot_luby_50null50mast_rapportOE2.0_TMAX120_K67_cod2.pb;31415;false;true;false;TIMEOUT;-11;1800.00;11;1335800;13860
BA_RDC4.dot_luby_50null50mast_rapportOE2.0_TMAX120_K67_cod2.pb;31415;false;true;true;TIMEOUT;-11;1800.00;7;684855;5
BA_RDC4.dot_luby_50null50mast_rapportOE2.0_TMAX120_K67_cod2.pb;31415;true;true;false;TIMEOUT;-11;1800.00;13;256049;13860
BA_RDC4.dot_luby_50null50mast_rapportOE2.0_TMAX120_K67_cod2.pb;31415;true;true;true;TIMEOUT;-11;1800.00;13;244236;5
BA_RDC4.dot_unif_20null0mast_rapportOE1.0_TMAX180_K67_cod2.pb;31415;false;true;false;TIMEOUT;-29499;1800.00;12;1350949;152382
BA_RDC4.dot_unif_20null0mast_rapportOE1.0_TMAX180_K67_cod2.pb;31415;false;true;true;TIMEOUT;-31403;1800.00;12;870859;152210
BA_RDC4.dot_unif_20null0mast_rapportOE1.0_TMAX180_K67_cod2.pb;31415;true;true;false;TIMEOUT;-37911;1800.00;13;347488;152798
BA_RDC4.dot_unif_20null0mast_rapportOE1.0_TMAX180_K67_cod2.pb;31415;true;true;true;TIMEOUT;-35513;1800.00;18;258094;152304
BA_RDC4.dot_unif_50null0mast_rapportOE1.0_TMAX180_K67_cod2.pb;31415;false;true;false;TIMEOUT;-29733;1800.00;23;1349476;79327
BA_RDC4.dot_unif_50null0mast_rapportOE1.0_TMAX180_K67_cod2.pb;31415;false;true;true;TIMEOUT;-32096;1800.00;16;871957;79351
BA_RDC4.dot_unif_50null0mast_rapportOE1.0_TMAX180_K67_cod2.pb;31415;true;true;false;TIMEOUT;-39429;1800.00;18;347488;79533
BA_RDC4.dot_unif_50null0mast_rapportOE1.0_TMAX180_K67_cod2.pb;31415;true;true;true;TIMEOUT;-41146;1800.01;20;261511;79188
